Variable,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17
SSIDs \#8764 Freq.,0.397,0.293,0.197,0.174,0.184,0.194,0.198,0.061,0.052,0.021,-0.011,0.001,0.005,0.015,-0.005,0.002,-0.001
SSIDs \#1794 Freq.,0.383,0.285,0.182,0.189,0.193,0.234,0.227,0.094,0.061,0.009,0.024,0.003,0.004,-0.02,-0.006,-0.006,0.002
Screen Usage Dur.(Sleep),0.125,0.178,-0.318,-0.381,-0.442,-0.327,-0.234,-0.014,-0.052,0.135,-0.029,0.023,0.008,-0.011,0.005,0.002,-0.003
SSIDs \#2423 Freq.,0.376,0.276,0.176,0.136,0.153,0.174,0.146,-0.024,0.012,-0.016,0.013,-0.011,-0.007,0.005,-0.003,0.001,-0.002
SSIDs \#3110 Freq.,0.364,0.253,0.183,0.152,0.176,0.192,0.113,0.071,0.061,0.013,-0.01,-0.01,-0.009,0.007,-0.002,0.002,0.001
SSIDs \#8384 Freq.,0.351,0.237,0.164,0.176,0.198,0.153,0.185,0.113,0.047,-0.014,0.015,0.003,0.001,-0.002,0.002,0.003,0.002
Not found APP Dur.,-0.147,-0.154,-0.215,-0.214,-0.218,-0.197,-0.108,-0.077,-0.066,0.017,-0.004,-0.008,-0.019,0.018,-0.002,-0.001,-0.004
News APP Dur.,-0.091,-0.112,0.128,0.127,0.129,0.092,0.061,0.015,0.014,0.013,-0.003,-0.005,-0.002,-0.003,-0.011,-0.011,0.005
SSIDs \#7521 Freq.,0.332,0.214,0.172,0.181,0.173,0.142,0.124,0.014,0.038,0.006,-0.02,0.005,0.005,0.009,0.003,-0.004,0.001
SSIDs \#5857 Freq.,0.321,0.193,0.142,0.147,0.151,0.159,0.155,0.013,0.026,-0.01,0.002,0.009,-0.007,-0.01,-0.004,-0.002,-0.002
Art Design APP Dur.,-0.103,-0.093,-0.156,-0.179,-0.191,-0.121,-0.041,0.012,0.011,-0.009,0.005,-0.013,-0.012,-0.017,-0.005,-0.003,-0.003
Health APP Dur.,-0.087,-0.078,-0.139,-0.141,-0.153,-0.092,0.023,-0.086,-0.05,-0.016,0.018,-0.003,-0.003,0.028,0.079,0.01,0.002
SSIDs \#3296 Freq.,0.276,0.216,0.189,0.167,0.168,0.163,0.079,0.065,0.029,0.009,-0.012,0.002,0.008,0.016,0.001,0.001,-0.001
SSIDs \#3976 Freq.,0.289,0.198,0.163,0.143,0.143,0.184,0.119,-0.032,0.021,0.003,0.021,-0.008,0.002,-0.013,-0.005,-0.002,0.001
Dating APP Dur.,-0.131,-0.165,-0.224,-0.213,-0.217,-0.218,0.111,0.023,0.016,0.019,-0.017,0.014,-0.004,-0.004,-0.006,0.025,0.017
SSIDs \#8001 Freq.,0.321,0.284,0.205,0.152,0.159,0.193,0.121,0.051,0.038,0.012,0.013,-0.006,0.003,0.007,-0.001,-0.003,0.001
SSIDs \#2756 Freq.,0.307,0.267,0.192,0.162,0.142,0.127,0.139,0.026,0.013,-0.007,-0.014,-0.01,0.005,0.01,0.002,0.002,-0.002
Books APP Dur.,0.093,0.075,0.547,-0.187,-0.195,0.217,0.054,-0.058,0.015,-0.002,-0.002,-0.002,-0.002,-0.013,0.004,-0.004,-0.003
Comics APP Dur.,-0.062,-0.082,-0.164,-0.154,-0.162,-0.102,0.019,-0.035,0.017,-0.004,0.003,0.02,-0.005,0.003,-0.002,-0.002,0.002
SSIDs \#3791 Freq.,0.245,0.156,0.173,0.153,0.152,0.148,0.104,0.042,0.053,0.02,-0.019,0.001,0.004,0.011,0.003,-0.003,-0.002
SSIDs \#6461 Freq.,0.268,0.176,0.194,0.167,0.164,0.132,0.133,0.085,0.048,0.017,0.004,0.003,-0.006,0.015,-0.002,0.001,-0.003
SSIDs \#5285 Freq.,0.259,0.162,0.182,0.151,0.158,0.172,0.158,0.059,0.052,0.014,0.009,-0.004,0.008,0.013,0.001,-0.002,-0.005
Maps APP Dur.,-0.078,-0.134,-0.213,-0.213,-0.207,-0.149,0.068,0.032,0.026,-0.015,0.016,0.009,-0.002,0.045,0.023,0.017,0.012
Financial APP Dur.,-0.091,-0.082,-0.151,-0.121,-0.128,-0.082,0.031,0.004,0.021,0.012,-0.012,-0.011,-0.015,-0.005,-0.006,-0.003,0.001
